#Data,Import,Orgànica,Àrea CA,Funcional,Econòmica,Nom terc.,Text lliure,Document
2022-01-14,3000,08,Cultura,,,AMICS DE SANT ANTONI,CAVALLS I CARRUATGES COL·LABORACIÓ REIS,001/2022
2022-02-02,43.42,02,Serveis generals,,,"COMERCIA GLOBAL PAYMENTS ENTIDAD DE PAGO, S.L.",SERVEIS D'ADQUIRENCIA 12/2021,08975MD 5095841
2022-02-02,6.35,10,Joventut,,,JOVENTUT,DESATASCADOR - BESTRETA JUVENTUT,00676817
2022-02-02,35.09,10,Joventut,,,JOVENTUT,MATERIAL DIVERS - BESTRETA JUVENTUT,2021/867
2022-02-02,25,10,Joventut,,,JOVENTUT,MATERIAL DIVERS - BESTRETA JUVENTUT,ORD_171_2021_0031871
2022-02-02,85.93,10,Joventut,,,JOVENTUT,MATERIAL DIVERS - BESTRETA JUVENTUT,12100050006083079
2022-02-02,42.99,10,Joventut,,,JOVENTUT,MATERIAL DIVERS - BESTRETA JUVENTUT,E222-107/00330520
2022-02-02,23.06,10,Joventut,,,JOVENTUT,MATERIAL DIVERS - BESTRETA JUVENTUT,09698
2022-02-02,95.9,10,Joventut,,,JOVENTUT,MATERIAL TALLER - BESTRETA JUVENTUT,009-0001-929330
2022-02-02,6.07,10,Joventut,,,JOVENTUT,MATERIAL DIVERS - BESTRETA JUVENTUT,210714
2022-02-02,503.54,08,Cultura,,,"ABACUS, S.COOP.C.L.",COMPRA LLIBRES BIBLIOTECA,9030334588
2022-02-02,52.8,08,Cultura,,,"ABACUS, S.COOP.C.L.",COMPRA LLIBRES BIBLIOTECA,9030334590
2022-02-02,459.56,08,Cultura,,,"ABACUS, S.COOP.C.L.",COMPRA LLIBRES BIBLIOTECA,9030334590
2022-02-02,397.08,08,Cultura,,,"ABACUS, S.COOP.C.L.",COMPRA LLIBRES BIBLIOTECA,9030334589
2022-02-02,527.45,08,Cultura,,,"ABACUS, S.COOP.C.L.",COMPRA LLIBRES BIBLIOTECA,9030334589
2022-02-02,117.14,08,Cultura,,,"ABACUS, S.COOP.C.L.",COMPRA LLIBRES BIBLIOTECA,9030334587
2022-02-02,515.39,08,Cultura,,,"ABACUS, S.COOP.C.L.",COMPRA LLIBRES BIBLIOTECA,9030334587
2022-02-02,549.28,08,Cultura,,,"ABACUS, S.COOP.C.L.",COMPRA LLIBRES BIBLIOTECA,9030334587
2022-02-02,1084.14,14,Dona i igualtat,,,"ADAMUZ PASTOR, MONICA",SUPORT PSICOLÒGICS DONES DESEMBRE 2021,140
2022-02-02,319.44,18,Serveis de manteniment d'edificis i inversions,,,"ADO URBAN FURNITURE, S.L.",SUBMINISTRAMENT PASSACABLES,URBAN22 121
2022-02-02,1078.84,18,Serveis de manteniment d'edificis i inversions,,,"ADO URBAN FURNITURE, S.L.",SUBMINISTRAMENT DE DELIMITADORS DE FORMIGÓ,URBAN22 97
2022-02-02,0.07,02,Serveis generals,,,"ALD AUTOMOTIVE, S.A.U",ARRENDAMENT FINANCER VEHICLE POLICIA LOCAL SEAT ATECA DESEMBRE 2021,183 211231183002190
2022-02-02,234.74,02,Serveis generals,,,"ALD AUTOMOTIVE, S.A.U",ARRENDAMENT FINANCER VEHICLE POLICIA LOCAL SEAT ATECA DESEMBRE 2021,183 211231183002190
2022-02-02,331.92,03,Seguretat ciutadana,,,"ALD AUTOMOTIVE, S.A.U",ARRENDAMENT FINANCER VEHICLE POLICIA LOCAL SEAT ATECA DESEMBRE 2021,183 211231183002190
