#Data,Import,Orgànica,Àrea CA,Funcional,Econòmica,Nom terc.,Text lliure,Document
2021-12-17,260.15,18,Serveis de manteniment d'edificis i inversions,,,"SUBMINISTRES ROVIRA,SL -FERRETERIA ROVIRA",MATERIAL BRIGADA,121003587
2021-12-17,474.77,18,Serveis de manteniment d'edificis i inversions,,,"SUBMINISTRES ROVIRA,SL -FERRETERIA ROVIRA",MATERIALS BRIGADA,121003594
2021-12-17,167.25,18,Serveis de manteniment d'edificis i inversions,,,"SUBMINISTRES ROVIRA,SL -FERRETERIA ROVIRA",MATERIALS BRIGADA,121003595
2021-12-17,2328.72,10,Joventut,,,"TALLER D'ART, CULTURA I CREACIÓ, SL",SERVEI D'INFORMACIÓ JUVENIL NOVEMBRE 2021,4102
2021-12-17,4237.41,10,Joventut,,,"TALLER D'ART, CULTURA I CREACIÓ, SL",SERVEI DE DINAMITZACIÓ JUVENIL NOVEMBRE 2021,4105
2021-12-17,4.4,06,Serveis municipals i via pública,,,"TANATORI DE MASCOTES 2021, S.L.",INCINERACIÓ COL·LECTIVA CONILL,4862
2021-12-17,210.0,14,Dona i igualtat,,,TEATRE DEL BUIT,ACTUACIONS TEATRALS 25N 2021,146
2021-12-17,920.0,14,Dona i igualtat,,,TEATRE DEL BUIT,ACTUACIONS TEATRALS 25N 2021,146
2021-12-17,2855.72,02,Serveis generals,,,"TPF GETINSA EUROESTUDIOS, S.L.",ESTUDI GEOTECNIC AMPLIACIÓ I REFORMA EDIFICI AJUNTAMENT,Emit 21710261
2021-12-17,229.9,18,Serveis de manteniment d'edificis i inversions,,,"TRANSPORTS ENRIC RIFE, S.L.",TRANSPORT COMPOST HORTS MUNICIPALS,11965
2021-12-17,1469.69,06,Serveis municipals i via pública,,,"URBE SBD,SL",MANTENIMENT JOCS INFANTILS -NOVEMBRE 2021-,1 107361
2021-12-17,171890.39,05,Obres,,,UTE EFICIENCIA ENERGETICA 2019,CERTIFICACIÓ 3 OBRA MILLORA EFICIÈNCIA ENLLUMENAT PÚBLIC POLINYÀ,3
2021-12-17,260.15,21,Gent gran,,,VALLAS & TOILETS SLU,LLOGUER WC'S PORTÀTILS XI ZAMBOMBÀ NADAL GENT GRAN,10 1021003718
2021-12-17,471.57,15,Salut i consum ,,,"VILAPLANA DE JUAN, SUSANNA - CENTRE VETERINARI SANLLEHY",SERVEI ANIMALS,11/4T
2021-12-17,549.46,15,Salut i consum ,,,"VILAPLANA DE JUAN, SUSANNA - CENTRE VETERINARI SANLLEHY",SERVEI ANIMALS,17/4T
2021-12-17,9.6,20,Promoció econòmica,,,"VODAFONE ESPAÑA, SAU",SERVEIS MOBILS NOVEMBRE 2021,5900205063
2021-12-17,15.73,13,Esports,,,"VODAFONE ESPAÑA, SAU",SERVEIS MOBILS NOVEMBRE 2021,5900205063
