#Eco.,Descripció,Previsions inicials,Total Modificacions,Previsions totals,Drets reconeguts nets
11200,IMPOST SOBRE BENS DE NATURALESA RÚSTEGA,14000.0,0.0,14000.0,13201.2
11301,IMPOST SOBRE BENS DE NATURALESA URBANA,4110000.0,0.0,4110000.0,3870903.22
11500,IMPOST SOBRE VEHICLES DE TRACCIÓ MECÀNICA,630000.0,0.0,630000.0,595619.58
11600,IMPOST SOBRE INCREMENT DE VALORS TERRENYS NATURALESA URBANA,800000.0,0.0,800000.0,-10233.16
13000,IMPOST SOBRE ACTIVITATS EMPRESARIALS,2210000.0,0.0,2210000.0,2106164.77
29000,"IMPOST SOBRE CONSTRUCCIONS, INSTAL·LACIONS I OBRES",1000000.0,0.0,1000000.0,40020.48
30200,RECOLLIDA ESCOMBRARIES,310000.0,0.0,310000.0,309662.1
30201,SERVEI RECOLLIDA ESCOMBRARIES INDUSTRIALS,68100.0,0.0,68100.0,73731.12
30500,CEMENTIRI MUNICIPAL,15000.0,0.0,15000.0,7093.0
31100,ACTIVITATS GENT GRAN,0.0,0.0,0.0,1353.28
31201,PLA DE FORMACIÓ,0.0,0.0,0.0,36.0
31301,ACTIVITATS ESPORTIVES,0.0,0.0,0.0,0.0
31306,INSTAL·LACIONS ESPORTIVES,0.0,0.0,0.0,120.0
31307,PISCINA ESTIU,0.0,0.0,0.0,0.0
31400,ACTIVITATS CULTURALS,0.0,0.0,0.0,36.0
31500,ACTIVITATS JUVENILS,0.0,0.0,0.0,0.0
31903,RECOLLIDA ANIMALS DOMÈSTICS,1000.0,0.0,1000.0,100.0
32100,LLICÈNCIES URBANÍSTIQUES,300000.0,0.0,300000.0,24123.7
32200,LLICÈNCIES DE PRIMERA OCUPACIÓ,20000.0,0.0,20000.0,11751.34
32500,SERVEIS ADMINISTRATIUS,10000.0,0.0,10000.0,8201.02
32600,TAXA PER RETIRADA DE VEHICLES,10000.0,0.0,10000.0,3981.0
32700,LLICÈNCIES AUTOTAXIS,1000.0,0.0,1000.0,666.6
32800,LLICÈNCIES ACTIVITATS,120000.0,0.0,120000.0,38858.55
32901,TAXA LLICENCIA GOSSOS POTENCIALMENT PERILLOSOS,1000.0,0.0,1000.0,0.0
33100,DISTINTIUS I PLAQUES I ENTRADA VEHICLES,98000.0,0.0,98000.0,96884.05
33200,APROFITAMENT ESPECIAL EMP. EXPLOTADORES SUBMINISTRAMENTS,380000.0,0.0,380000.0,279714.98
33300,APROFITAMENT ESPECIAL EMP. EXPLOTADORES S.TELECOMUNICACIONS,22000.0,0.0,22000.0,6041.27
33500,TAXA UTILITZACIÓ DOMINI PÚBLIC,40000.0,0.0,40000.0,25958.63
33800,"APROFITAMENT VOL, SOL I SUBSÒL, CONVENI TELEFÒNICA",28000.0,0.0,28000.0,5306.68
33901,TAXA UTILITZACIÓ LOCALS I INSTAL.LACIONS MUNICIPALS,1000.0,0.0,1000.0,0.0
34100,CESSIÓ PISOS SOCIALS,1000.0,0.0,1000.0,203.48
34102,ACTIVITATS CASAL GENT GRAN,3000.0,0.0,3000.0,1394.0
34201,ESCOLA BRESSOL,65000.0,0.0,65000.0,50874.72
34300,PREU PUBLIC PISCINA D'ESTIU,48000.0,0.0,48000.0,39909.6
34301,ACTIVITATS ESPORTIVES,2000.0,0.0,2000.0,2109.0
34302,LLOGUER INSTAL.LACIONS ESPORTIVES,1000.0,0.0,1000.0,350.0
34901,PREU PUBLIC PRESTACIÓ SERVEIS CAN GAVARRA,90000.0,0.0,90000.0,59287.1
34902,PREU PÚBLIC ACTIVITATS CULTURALS,1000.0,0.0,1000.0,2567.0
34903,ACTIVITATS D'OCUPACIÓ-PLA FORMACIÓ,1000.0,0.0,1000.0,0.0
34904,PREU PÚBLIC ACTIVITATS JUVENILS,60000.0,0.0,60000.0,4214.0
34905,ACTIVITATS CASAL GENT GRAN,0.0,0.0,0.0,820.0
34906,PREU PUBLIC CASALS D'ESTIU,0.0,0.0,0.0,47531.0
38900,REINTEGRES D'EXERCICIS TANCATS,0.0,0.0,0.0,6133.02
39100,SANCIONS TRIBUTARIES,1000.0,0.0,1000.0,1861.1
39120,MULTES TRANSIT,190000.0,0.0,190000.0,73775.71
39190,ALTRES MULTES I SANCIONS,60000.0,0.0,60000.0,23181.6
39200,RECÀRREC D'EXTEMPORANEÏTAT,6000.0,0.0,6000.0,5497.59
39211,RECARREC DE CONSTRENYIMENT,0.0,0.0,0.0,0.0
39300,INTERESSOS DEUTES TRIBUTÀRIES I ALTRES,1000.0,0.0,1000.0,-113988.77
39901,ALTRES INGRESSOS DIVERSOS,5000.0,0.0,5000.0,1644.11
39903,COMPENSACIÓ CÀNON DE DEPOSICIÓ RESIDUS,77265.0,0.0,77265.0,36497.67
39904,GESTIÓ RECOLLIDA RESIDUS DEIXALLERIA,20000.0,0.0,20000.0,8049.97
39906,RECLAMACIÓ DANYS,0.0,0.0,0.0,5862.5
39907,INGRESSOS PER EXECUCIONS SUBSIDIÀRIES,0.0,0.0,0.0,0.0
39910,lINGRESSOS PER CESSIONS HABITTGE SOCIAL,3000.0,0.0,3000.0,2594.94
42000,PARTICIPACIONS EN ELS TRIBUTS DE L'ESTAT,2023075.0,0.0,2023075.0,1192890.73
42001,COMPENSACIONS IVA 2017,0.0,0.0,0.0,0.0
42090,ALTRES TRANSF.CORRENTS DE L'ADMCIO. DE L'ESTAT,0.0,0.0,0.0,169264.12
45000,FONS DE COOPERACIÓ,139000.0,0.0,139000.0,134971.22
45080,DE L'ADMINISTRACIÓ GENERAL DE LA COMUNITAT AUTÒNOMA,275200.0,0.0,275200.0,301732.23
45100,TRANSFERÈNCIES D'ORGANISMES AUTÒNOMS DE LA COM.AUTÒNOMA,70000.0,76467.16,146467.16,15143.0
45300,TRANSFERÈNCIES D'ENT.DE DRET PÚBLIC DE LA GEN.DE CATALUNYA,0.0,0.0,0.0,4000.0
46100,ALTRES TRANSFERÈNCIES DIPUTACIÓ,435000.0,100623.84,535623.84,311428.63
46200,D'AJUNTAMENTS,0.0,20641.15,20641.15,1000.0
46500,ALTRES TRANSFERÈNCIES COMARQUES,310000.0,0.0,310000.0,193904.93
47000,TRANSFERENCIES D'EMPRESES PRIVADES,0.0,0.0,0.0,776.5
52000,INTERESSOS DE CAIXES I BANCS,0.0,0.0,0.0,4.01
54100,ARRENDAMENT FINQUES (CONVENI SAREB),100000.0,0.0,100000.0,0.0
55000,CONCESSIONS ADMINISTRATIVES,60000.0,0.0,60000.0,54552.53
60000,VENDA DE SOLARS,232949.0,0.0,232949.0,0.0
75080,ALTRES TRANSFERÈNCIES DE CAPITAL DE LA COM.AUTONOMA,0.0,114178.9,114178.9,0.0
75300,DE SOC MERC ENT PÚB EMPR I ALTRES ORGA PÚB DEPEN DE CCAA,70464.43,32190.02,102654.45,7141.55
76100,DE DIPUTACIONS,25000.0,533849.48,558849.48,0.0
87000,PER A DESPESES GENERALS,0.0,944516.97,944516.97,0.0
87010,PER A DESPESES AMB FINANÇAMENT AFECTAT,0.0,1587083.5,1587083.5,0.0
91100,PRÉSTECS A LL/T D'ENS DEL SECTOR PÚBLIC,200000.0,26739.09,226739.09,54000.0
91301,PRÉSTEC REBUTS DE FORA DEL SECTOR PÚBLIC,1269778.57,3749033.93,5018812.5,0.0
