#Data,Import,Orgànica,Àrea CA,Funcional,Econòmica,Nom terc.,Text lliure,Document
2020-01-29,580.8,18,Serveis de manteniment d'edificis i inversions,,,"ALARCÓN ANAYA, RAFAEL - CERRAJERIA ANAYA",REPARACIÓ PISTA BASQUET,19069
2020-01-29,949.85,18,Serveis de manteniment d'edificis i inversions,,,"ALARCÓN ANAYA, RAFAEL - CERRAJERIA ANAYA",REPARACIONS CAMP DE FUTBOL I RAMBLA PSG. SENTMENAT,19066
2020-01-29,2800.0,08,Cultura,,,AMICS DE SANT ANTONI,SERVEIS CAVALCADA REIS 2020,001/2020
2020-01-29,83.33,08,Cultura,,,AMPA ESCOLA ROSER CAPDEVILA,ENTITAT COL.LABORADORA CAVALCADA DE REIS 2020,
2020-01-29,2584.56,05,Obres,,,"APLICACIÓN DE TECNOLOGIAS ELÉCTRICAS MARTÍNEZ, SL",LEGALIZACIÓ POSTE DE RECARREGA EXT. CIRCUTOR URBA T22-3G,2019206
2020-01-29,302.5,10,Joventut,,,"ARES ESPAI DE CUINA I MENJADOR, S.L.",MONITOR INFALBE BÀSQUET NADAL JOVE,19
2020-01-29,605.0,10,Joventut,,,"ARES ESPAI DE CUINA I MENJADOR, S.L.",INFLABLES NADAL JOVE,18
2020-01-29,16032.28,05,Obres,,,"ASFALTOS BARCINO, SL","CERTIFICACIÓ Nº. 2 OBRES GLORIETA CRUÏLLA C.GARBI, PINTOR FORTUNY I PSG. SANLLHEY",2
2020-01-29,83.33,08,Cultura,,,ASSOCIACIÓ AMICS DE POLINYÀ I RODALIES,ENTITAT COL.LABORADORA CAVALCADA REIS 2020,
2020-01-29,332.75,18,Serveis de manteniment d'edificis i inversions,,,BALDOMERO BARROSO FENÁNDEZ (ROSBAL),REPARACIÓ FINESTRA CAN GAVARRA (AD16468),2019129
2020-01-29,83.33,08,Cultura,,,CALISAI ENTRE FUSION I FLAMENCO,ENTITAT COL.LABORADORA CAVALCADA REIS 2020,
2020-01-29,33.0,20,Promoció econòmica,,,CAN GAVARRA,"PRODUCTES EVENT """"PACTE PER A LA INDUSTRIALITZACIÓ"""" - BESTRETA",81181
2020-01-29,20.4,20,Promoció econòmica,,,CAN GAVARRA,MATERIAL CAN GAVARRA - BESTRETA,1912170042
2020-01-29,4.75,20,Promoció econòmica,,,CAN GAVARRA,MATERIAL CAN GAVARRA - BESTRETA,1912190005
2020-01-29,16.95,20,Promoció econòmica,,,CAN GAVARRA,MATERIAL CAN GAVARRA - BESTRETA,1912160062
2020-01-29,52.18,20,Promoció econòmica,,,CAN GAVARRA,MATERIAL CAN GAVARRA - BESTRETA,A-V2017-00004897847
2020-01-29,7.95,20,Promoció econòmica,,,CAN GAVARRA,MATERIAL CAN GAVARRA - BESTRETA,1912190004
2020-01-29,13.35,20,Promoció econòmica,,,CAN GAVARRA,"PRODUCTES EVENT """"PACTE PER A LA INDUSTRIALITZACIÓ - BESTRETA",A-V2019-00004961904
2020-01-29,6.95,18,Serveis de manteniment d'edificis i inversions,,,"CANALS BOLAÑOS, ALICIA",MATERIALS AJUNTAMENT,190689
2020-01-29,16.99,20,Promoció econòmica,,,"CANALS BOLAÑOS, ALICIA",MATERIAL MANTENIMENT CAN GAVARRA,190735
