#Data,Import,Orgànica,Àrea ES,Funcional,Econòmica,Nom terc.,Text lliure
2022-01-14,3000,08,Cultura,,,AMICS DE SANT ANTONI,CAVALLS I CARRUATGES COL·LABORACIÓ REIS
2022-02-02,43.42,02,Servicios generales,,,"COMERCIA GLOBAL PAYMENTS ENTIDAD DE PAGO, S.L.",SERVEIS D'ADQUIRENCIA 12/2021
2022-02-02,6.35,10,Juventud,,,JOVENTUT,DESATASCADOR - BESTRETA JUVENTUT
2022-02-02,35.09,10,Juventud,,,JOVENTUT,MATERIAL DIVERS - BESTRETA JUVENTUT
2022-02-02,25,10,Juventud,,,JOVENTUT,MATERIAL DIVERS - BESTRETA JUVENTUT
2022-02-02,85.93,10,Juventud,,,JOVENTUT,MATERIAL DIVERS - BESTRETA JUVENTUT
2022-02-02,42.99,10,Juventud,,,JOVENTUT,MATERIAL DIVERS - BESTRETA JUVENTUT
2022-02-02,23.06,10,Juventud,,,JOVENTUT,MATERIAL DIVERS - BESTRETA JUVENTUT
2022-02-02,95.9,10,Juventud,,,JOVENTUT,MATERIAL TALLER - BESTRETA JUVENTUT
2022-02-02,6.07,10,Juventud,,,JOVENTUT,MATERIAL DIVERS - BESTRETA JUVENTUT
2022-02-02,503.54,08,Cultura,,,"ABACUS, S.COOP.C.L.",COMPRA LLIBRES BIBLIOTECA
2022-02-02,52.8,08,Cultura,,,"ABACUS, S.COOP.C.L.",COMPRA LLIBRES BIBLIOTECA
2022-02-02,459.56,08,Cultura,,,"ABACUS, S.COOP.C.L.",COMPRA LLIBRES BIBLIOTECA
2022-02-02,397.08,08,Cultura,,,"ABACUS, S.COOP.C.L.",COMPRA LLIBRES BIBLIOTECA
2022-02-02,527.45,08,Cultura,,,"ABACUS, S.COOP.C.L.",COMPRA LLIBRES BIBLIOTECA
2022-02-02,117.14,08,Cultura,,,"ABACUS, S.COOP.C.L.",COMPRA LLIBRES BIBLIOTECA
2022-02-02,515.39,08,Cultura,,,"ABACUS, S.COOP.C.L.",COMPRA LLIBRES BIBLIOTECA
2022-02-02,549.28,08,Cultura,,,"ABACUS, S.COOP.C.L.",COMPRA LLIBRES BIBLIOTECA
2022-02-02,1084.14,14,Mujer e igualdad,,,"ADAMUZ PASTOR, MONICA",SUPORT PSICOLÒGICS DONES DESEMBRE 2021
2022-02-02,319.44,18,Servicios de mantenimiento de edificios e inversiones,,,"ADO URBAN FURNITURE, S.L.",SUBMINISTRAMENT PASSACABLES
2022-02-02,1078.84,18,Servicios de mantenimiento de edificios e inversiones,,,"ADO URBAN FURNITURE, S.L.",SUBMINISTRAMENT DE DELIMITADORS DE FORMIGÓ
2022-02-02,0.07,02,Servicios generales,,,"ALD AUTOMOTIVE, S.A.U",ARRENDAMENT FINANCER VEHICLE POLICIA LOCAL SEAT ATECA DESEMBRE 2021
2022-02-02,234.74,02,Servicios generales,,,"ALD AUTOMOTIVE, S.A.U",ARRENDAMENT FINANCER VEHICLE POLICIA LOCAL SEAT ATECA DESEMBRE 2021
2022-02-02,331.92,03,Seguridad ciudadana,,,"ALD AUTOMOTIVE, S.A.U",ARRENDAMENT FINANCER VEHICLE POLICIA LOCAL SEAT ATECA DESEMBRE 2021
2022-02-02,789.32,03,Seguridad ciudadana,,,"ALD AUTOMOTIVE, S.A.U",ARRENDAMENT FINANCER VEHICLE POLICIA LOCAL SEAT ATECA DESEMBRE 2021
2022-02-02,14.85,08,Cultura,,,"ALMACENES GENERALES DEL VALLES, SA",EMMAGATZEMATGE DESEMBRE 2021
2022-02-02,268.29,08,Cultura,,,"ALMACENES GENERALES DEL VALLES, SA",EMMAGATZEMATGE DESEMBRE 2021
2022-02-02,283.14,08,Cultura,,,"ALMACENES GENERALES DEL VALLES, SA",EMMAGATZEMATGE NOVEMBRE 2021
2022-02-02,3206.5,08,Cultura,,,"ARTISTIC EVENTS, SL",LLOGUER CARPA FÀBRICA DE JOGUINES
2022-02-02,66.55,18,Servicios de mantenimiento de edificios e inversiones,,,"BARROSO FERNANDEZ, BALDOMERO",REPARACIÓ PERSIANA PERE CALDERS
2022-02-02,66.55,18,Servicios de mantenimiento de edificios e inversiones,,,"BARROSO FERNANDEZ, BALDOMERO",REPARACIÓ PERSIANA PERE CALDERS
2022-02-02,302.5,18,Servicios de mantenimiento de edificios e inversiones,,,"CABALLE SALAS, ESTEVE",MANTENIMENT JARDINERIA DESEMBRE 2021
2022-02-02,101.88,08,Cultura,,,"CALSI, S.L.",MATERIAL ELÈCTRIC MUNTATGE ESTEL PER LA CAVALCADA DE REIS
2022-02-02,127.97,21,Personas mayores,,,"CAMPIO ASSOCIATS, SL",PLAQUES ALUMINI XI ZAMBOMBÀ NADAL GENT GRAN
2022-02-02,302.5,09,"Comunicación, participación ciudadana y calidad democrática",,,"CANO DE ARRIBAS, JOSEP",FOTOGRAFIES TALLER ESPAI JOVE
2022-02-02,302.5,09,"Comunicación, participación ciudadana y calidad democrática",,,"CANO DE ARRIBAS, JOSEP",FOTOGRAFIES BALLOON CUP 30/12/2021
2022-02-02,5734.76,02,Servicios generales,,,"CARLOS CASTILLA INGENIEROS, S.A.",RENOVACIÓ CONTRACTE SUPORT PROGRAMA EPSILON RRHH
2022-02-02,24.44,06,Servicios municipales y vías públicas,,,"CATALANA DE CLIMA I C.LLONCH,S.L.",MANTENIMENT CLIMA EDIFICIS MUNICIPALS DESEMBRE 2021
2022-02-02,70.79,06,Servicios municipales y vías públicas,,,"CATALANA DE CLIMA I C.LLONCH,S.L.",MANTENIMENT CLIMA EDIFICIS MUNICIPALS DESEMBRE 2021
2022-02-02,133.79,06,Servicios municipales y vías públicas,,,"CATALANA DE CLIMA I C.LLONCH,S.L.",MANTENIMENT CLIMA EDIFICIS MUNICIPALS DESEMBRE 2021
2022-02-02,242.9,06,Servicios municipales y vías públicas,,,"CATALANA DE CLIMA I C.LLONCH,S.L.",MANTENIMENT CLIMA EDIFICIS MUNICIPALS DESEMBRE 2021
2022-02-02,1.94,18,Servicios de mantenimiento de edificios e inversiones,,,"CECOPI DROGUERIA INDUSTRIAL, S.L.U.",MATERIAL MANTENIMENT EBM BADABADOC
2022-02-02,53.18,03,Seguridad ciudadana,,,"CECOPI DROGUERIA INDUSTRIAL, S.L.U.",MATERIAL POLICIA LOCAL
2022-02-02,75.61,18,Servicios de mantenimiento de edificios e inversiones,,,"CECOPI DROGUERIA INDUSTRIAL, S.L.U.",MATERIALS BRIGADA MANTENIMENT PISTA PETANCA
2022-02-02,91.48,11,Educación,,,"CECOPI DROGUERIA INDUSTRIAL, S.L.U.",MATERIAL MANTENIMENT CONSERGE
2022-02-02,204.19,18,Servicios de mantenimiento de edificios e inversiones,,,"CECOPI DROGUERIA INDUSTRIAL, S.L.U.",MATERIAL MAGAZEM BRIGADES
2022-02-02,762.3,08,Cultura,,,"COLOMER MAS, MONTSERRAT",PROTOCOL EMERGÈNCIA NADAL 2022
2022-02-02,206.51,18,Servicios de mantenimiento de edificios e inversiones,,,"CONFECCIONES INDUSTRIALES VALLS, SA",VESTUARI CONSERGES
2022-02-02,313.09,20,Promoción económica,,,"CONGOST - VIGILANCIA Y SEGURIDAD, SL",SERVEI DE VIGILANCIA I ALARMA AMB MANTENIMENT CAN GAVARRA DE SETEMBRE A DESEMBRE 2021
2022-02-02,5647.01,16,Servicios sociales,,,CONSELL COMARCAL DEL VALLES OCCIDENTAL,SAD NOVEMBRE 2021
2022-02-02,1500,13,Deportes,,,CONSELL ESPORTIU DEL VALLÈS OCCIDENTAL SABADELL,TITULACIÓ INSCRIPCIONS CURS D'INICIACIÓ A TÈCNIC DE JOC I ESPORT
2022-02-02,120,02,Servicios generales,,,"COSITAL ( SECRETARIOS, INTERVENTORES Y TESOREROS ADM.LOCAL CONSEJO GRAL.",COSITALNETWORK DE GENER 2022 A DESEMBRE 2022
2022-02-02,810,14,Mujer e igualdad,,,"CÚRCUMA SCCL: Acció, Diversitati Transformació amb perspectiva de gènere",PUNT LILA DIÜRN FIRA DE NADAL
2022-02-02,2848.2,02,Servicios generales,,,DAS DEFENSA DEL AUTOMOBILISTA Y SINIESTROS INTERNACIONAL SA DE SEGUROS Y REASEGUROS,ASSEGURANÇA D'ASSISTÈNCIA JURÍDICA - LOT 5
2022-02-02,274.38,18,Servicios de mantenimiento de edificios e inversiones,,,"DISA PENINSULA, S.L.U.",CARBURANT VEHICLES BRIGADA MUNICIPAL
2022-02-02,335.82,03,Seguridad ciudadana,,,"DISA PENINSULA, S.L.U.",CARBURANT VEHICLES POLICIALS
2022-02-02,20.3,08,Cultura,,,DISFRESSES BARQUET SCP,DISFRESSES CAVALCADA NADAL 2022
2022-02-02,40.9,08,Cultura,,,DISFRESSES BARQUET SCP,COMPRA MATERIALS CAVALCADA REIS 2022
2022-02-02,232.32,08,Cultura,,,DISFRESSES BARQUET SCP,LLOGUER DISFRESSES CAVALCADA 2022
2022-02-02,1669.8,08,Cultura,,,DISFRESSES BARQUET SCP,LLOGUER DISFRESSES CAVALVADA 2022
2022-02-02,4.87,11,Educación,,,"EDEN SPRINGS ESPAÑA, SAU",SUMINISTRAMENT AIGUA -DESEMBRE 2021-
2022-02-02,46.93,12,Área de atención a las personas,,,"EDEN SPRINGS ESPAÑA, SAU",SUMINISTRAMENT AIGUA -DESEMBRE 2021-
2022-02-02,55.19,11,Educación,,,"EDEN SPRINGS ESPAÑA, SAU",SUMINISTRAMENT AIGUA -DESEMBRE 2021-
2022-02-02,60.06,20,Promoción económica,,,"EDEN SPRINGS ESPAÑA, SAU",SUMINISTRAMENT AIGUA -DESEMBRE 2021-
2022-02-02,120.11,02,Servicios generales,,,"EDEN SPRINGS ESPAÑA, SAU",SUMINISTRAMENT AIGUA -DESEMBRE 2021-
2022-02-02,578.99,18,Servicios de mantenimiento de edificios e inversiones,,,"EL CEDRE JARDINERIA, SL",MANTENIMENT ZONES VERDES AVINGUDA SENTMENAT DESEMBRE 2021
2022-02-02,930,18,Servicios de mantenimiento de edificios e inversiones,,,"ELECTRICITAT I MANTENIMENTS POLINYA, SL",SUBSTITUCIÓ AIRE CONDICIONAT VIVER CAN GAVARRA
2022-02-02,16.96,18,Servicios de mantenimiento de edificios e inversiones,,,"ENDESA ENERGIA,S.A.",CONSUM ELECTRIC ENLL.PUBLIC DEL 30/11/2021 AL 31/12/2021
2022-02-02,22.32,18,Servicios de mantenimiento de edificios e inversiones,,,"ENDESA ENERGIA,S.A.",CONSUM ELECTRIC ENLL. PUBLIC DEL 30/11/2021 AL 31/12/2021
2022-02-02,26.5,18,Servicios de mantenimiento de edificios e inversiones,,,"ENDESA ENERGIA,S.A.",CONSUM ELECTRIC ENLL.PUBLIC DE 30/11/2021 AL 31/12/2021
2022-02-02,29.89,18,Servicios de mantenimiento de edificios e inversiones,,,"ENDESA ENERGIA,S.A.",CONSUM ELECTRIC ENLL.PUBLIC DEL 30/11/2021 AL 31/12/2021
2022-02-02,42.61,18,Servicios de mantenimiento de edificios e inversiones,,,"ENDESA ENERGIA,S.A.",CONSUM ELECTRIC ENLL.PUBLIC DEL 30/11/2021 AL 31/12/2021
2022-02-02,65.92,18,Servicios de mantenimiento de edificios e inversiones,,,"ENDESA ENERGIA,S.A.",CONSUM ELECTRIC ENLL.PUBLIC DEL 05/09/2021 AL 04/11/2021
2022-02-02,70.2,18,Servicios de mantenimiento de edificios e inversiones,,,"ENDESA ENERGIA,S.A.",CONSUM ELECTRIC ENLL. PUBLIC DE 20/10/2021 AL 21/12/2021
2022-02-02,77.85,18,Servicios de mantenimiento de edificios e inversiones,,,"ENDESA ENERGIA,S.A.",CONSUM ELECTRIC ENLL. PUBLIC DEL 30/11/2021 AL 31/12/2021
2022-02-02,85.98,18,Servicios de mantenimiento de edificios e inversiones,,,"ENDESA ENERGIA,S.A.",CONSUM ELECTRIC ENLL.PUBLIC DEL 30/11/2021 AL 31/12/2021
2022-02-02,90.32,18,Servicios de mantenimiento de edificios e inversiones,,,"ENDESA ENERGIA,S.A.",CONSUM ELECTRIC ENLL.PUBLIC DEL 31/10/2021 AL 31/12/2021
2022-02-02,94.58,18,Servicios de mantenimiento de edificios e inversiones,,,"ENDESA ENERGIA,S.A.",CONSUM ELECTRIC ENLL. PUBLIC DEL 30/11/2021 AL 31/12/2021
2022-02-02,100.83,18,Servicios de mantenimiento de edificios e inversiones,,,"ENDESA ENERGIA,S.A.",CONSUM ELECTRIC ENLL.PUBLIC DEL 30/11/2021 AL 31/12/2021
2022-02-02,104.49,18,Servicios de mantenimiento de edificios e inversiones,,,"ENDESA ENERGIA,S.A.",CONSUM ELECTRIC ENLL.PUBLIC DEL 30/11/2021 AL 31/12/2021
2022-02-02,113.2,18,Servicios de mantenimiento de edificios e inversiones,,,"ENDESA ENERGIA,S.A.",CONSUM ELECTRIC ENLL.PUBLIC DEL 30/11/2021 AL 31/12/2021
2022-02-02,117.37,18,Servicios de mantenimiento de edificios e inversiones,,,"ENDESA ENERGIA,S.A.",CONSUM ELECTRIC BIBLIOTECA DEL 30/11/2021 AL 31/12/2021
2022-02-02,119.76,18,Servicios de mantenimiento de edificios e inversiones,,,"ENDESA ENERGIA,S.A.",CONSUM ELECTRIC ENLL.PUBLIC DEL 30/11/2021 AL 31/12/2021
2022-02-02,122.71,18,Servicios de mantenimiento de edificios e inversiones,,,"ENDESA ENERGIA,S.A.",CONSUM ELECTRIC ENLL.PUBLIC DEL 30/11/2021 AL 31/12/2021
2022-02-02,169.15,18,Servicios de mantenimiento de edificios e inversiones,,,"ENDESA ENERGIA,S.A.",CONSUM ELECTRIC NAU BRIGADA DEL 30/11/2021 AL 31/12/2021
2022-02-02,187.35,18,Servicios de mantenimiento de edificios e inversiones,,,"ENDESA ENERGIA,S.A.",CONSUM ELECTRIC ENLL.PUBLIC DEL 31/10/2021 AL 31/12/2021
2022-02-02,192.85,18,Servicios de mantenimiento de edificios e inversiones,,,"ENDESA ENERGIA,S.A.",CONSUM ELECTRIC ENLL.PUBLIC DEL 30/112021 AL 31/12/2021
2022-02-02,200.07,18,Servicios de mantenimiento de edificios e inversiones,,,"ENDESA ENERGIA,S.A.",CONSUM ELECTRIC CASAL DE JOVES DEL 30/11/2021 AL 31/12/2021
2022-02-02,221.05,18,Servicios de mantenimiento de edificios e inversiones,,,"ENDESA ENERGIA,S.A.",CONSUM ELECTRIC ENLL.PUBLIC DEL 30/10/2021 AL 31/12/2021
2022-02-02,229.96,18,Servicios de mantenimiento de edificios e inversiones,,,"ENDESA ENERGIA,S.A.",CONSUM ELECTRIC ENLL.PUBLIC DEL 30/11/2021 AL 31/12/2021
2022-02-02,237.11,18,Servicios de mantenimiento de edificios e inversiones,,,"ENDESA ENERGIA,S.A.",CONSUM ELECTRIC ENLL.PUBLIC DEL 30/11/2021 AL 31/12/2021
2022-02-02,242.53,18,Servicios de mantenimiento de edificios e inversiones,,,"ENDESA ENERGIA,S.A.",CONSUM ELECTRIC ENLL.PUBLIC DEL 30/11/2021 AL 31/12/2021
2022-02-02,242.98,18,Servicios de mantenimiento de edificios e inversiones,,,"ENDESA ENERGIA,S.A.",CONSUM ELECTRIC ENLL.PUBLIC DEL 01/11/2021 AL 31/12/2021
2022-02-02,252.46,18,Servicios de mantenimiento de edificios e inversiones,,,"ENDESA ENERGIA,S.A.",CONSUM ELECTRIC ENLL. PUBLIC DEL 30/11/2021 AL 30/12/2021
2022-02-02,265.4,18,Servicios de mantenimiento de edificios e inversiones,,,"ENDESA ENERGIA,S.A.",CONSUM ELECTRIC ENLL.PUBLIC DEL 30/11/2021 AL 31/12/2021
2022-02-02,276.68,18,Servicios de mantenimiento de edificios e inversiones,,,"ENDESA ENERGIA,S.A.",CONSUM ELECTRIC CENTRE CIVIC DEL 30/11/2021 AL 31/12/2021
2022-02-02,336.55,18,Servicios de mantenimiento de edificios e inversiones,,,"ENDESA ENERGIA,S.A.",CONSUM ELECTRIC EBM BADABADOC DEL 30/11/2021 AL 31/12/2021
2022-02-02,337.71,18,Servicios de mantenimiento de edificios e inversiones,,,"ENDESA ENERGIA,S.A.",CONSUME ELECTRIC ENLL.PUBLIC DEL 30/11/2021 AL 31/12/2021
2022-02-02,356.36,18,Servicios de mantenimiento de edificios e inversiones,,,"ENDESA ENERGIA,S.A.",CONSUM ELECTRIC EBM LA GINESTA DEL 30/11/2021 AL 31/12/2021
