#Eco.,Descripció,Previsions inicials,Total Modificacions,Previsions totals,Drets reconeguts nets
11200,IMPOST SOBRE BENS DE NATURALESA RÚSTEGA,3468,,3468.0,11597.97
11301,IMPOST SOBRE BENS DE NATURALESA URBANA,3900000,,3900000.0,3906052.98
11500,IMPOST SOBRE VEHICLES DE TRACCIÓ MECÀNICA,640000,,640000.0,624906.6
11600,IMPOST SOBRE INCREMENT DE VALORS TERRENYS NATURALESA URBANA,600000,,600000.0,1606267.02
13000,IMPOST SOBRE ACTIVITATS EMPRESARIALS,1590000,,1590000.0,1369475.67
29000,"IMPOST SOBRE CONSTRUCCIONS, INSTAL·LACIONS I OBRES",250000,,250000.0,514176.39
30000,ABASTAMENT D'AIGUA,0,,,5061.1
30100,SERVEIS DE CLAVEGUERAM,0,,,
30200,RECOLLIDA ESCOMBRARIES,370000,,370000.0,352932.63
30500,CEMENTIRI MUNICIPAL,15000,,15000.0,11698.2
31100,ACTIVITATS SERVEIS SOCIALS,3000,,3000.0,1973.0
31200,ACTIVITATS ENSENYAMENT,6500,,6500.0,17039.74
31201,PLA DE FORMACIÓ,3000,,3000.0,3334.0
31301,ACTIVITATS ESPORTIVES,1000,,1000.0,1548.0
31306,INSTAL·LACIONS ESPORTIVES,1000,,1000.0,152.5
31400,ACTIVITATS CULTURALS,2000,,2000.0,2100.0
31500,ACTIVITATS JUVENILS,30000,,30000.0,33126.98
31600,ACTIVITATS PROMOCIÓ ECONÒMICA,2000,,2000.0,
31903,RECOLLIDA ANIMALS DOMÈSTICS,2000,,2000.0,1241.85
32100,LLICÈNCIES URBANÍSTIQUES,180000,,180000.0,155981.19
32500,SERVEIS ADMINISTRATIUS,5000,,5000.0,12343.56
32600,TAXA PER RETIRADA DE VEHICLES,12000,,12000.0,9428.12
32700,LLICÈNCIES AUTOTAXIS,1000,,1000.0,444.4
32800,LLICÈNCIES OBERTURA ESTABLIMENTS,160000,,160000.0,74164.79
33100,DISTINTIUS I PLAQUES I ENTRADA VEHICLES,85000,,85000.0,85040.65
33200,APROFITAMENT ESPECIAL EMP. EXPLOTADORES SUBMINISTRAMENTS,350000,,350000.0,279888.47
33300,APROFITAMENT ESPECIAL EMP. EXPLOTADORES S.TELECOMUNICACIONS,5000,,5000.0,5370.42
33500,TAXA UTILITZACIÓ DOMINI PÚBLIC,60000,,60000.0,78299.57
33800,"APROFITAMENT VOL, SOL I SUBSÒL, CONVENI TELEFÒNICA",50000,,50000.0,35210.09
33900,QUIOSCOS,0,,,
33901,TAXA UTILITZACIÓ LOCALS I INSTAL.LACIONS MUNICIPALS,1400,,1400.0,6155.2
34201,ESCOLA BRESSOL,194000,,194000.0,196474.61
34900,PREU PÚBLIC PER INSERCIÓ PUBLICITAT,0,,,
34901,PREU PUBLIC PRESTACIÓ SERVEIS CAN GAVARRA,0,,,12459.27
35000,CONTRIBUCIONS ESPECIALS QUOTES URBANISTIQUES,0,,,
38900,ALTRES REINTEGRAMENTS D'OPERACIONS CORRENTS,0,,,4778.59
39100,MULTES PER INFRANCCIONS URBANÍSTIQUES,40000,,40000.0,34067.59
39120,MULTES TRANSIT,50000,,50000.0,29742.57
39200,RECÀRREC D'EXTEMPORANEÏTAT,6000,,6000.0,7996.69
39300,INTERESSOS DEUTES TRIBUTÀRIES I ALTRES,20000,,20000.0,100493.86
39710,Altres ingressos per aprofitaments urbanístics.,0,,,
39901,ALTRES INGRESSOS DIVERSOS,10000,,10000.0,29368.6
39903,COMPENSACIÓ CÀNON DE DEPOSICIÓ RESIDUS,40000,,40000.0,21810.38
39904,GESTIÓ RECOLLIDA RESIDUS DEIXALLERIA,15000,,15000.0,17095.4
39906,RECLAMACIÓ DANYS,0,,,159134.49
39907,INGRESSOS PER EXECUCIONS SUBSIDIÀRIES,0,52844.09,52844.09,-107607.15
42000,PARTICIPACIONS EN ELS TRIBUTS DE L'ESTAT,1530000,,1530000.0,1473403.35
45000,FONS DE COOPERACIÓ,115000,,115000.0,118501.83
45002,CONVENIS DE MANTENIMENT DE SERVEIS SOCIALS,25600,,25600.0,
45030,CONVENIS DE MANTENIMENT DE SERVEIS EDUCACIÓ,0,,,
45080,DE L'ADMINISTRACIÓ GENERAL DE LA COMUNITAT AUTÒNOMA,65000,25539.55,90539.55,78214.13
45100,TRANSFERÈNCIES D'ORGANISMES AUTÒNOMS DE LA COM.AUTÒNOMA,20000,102323.96,122323.96,72949.02
46100,ALTRES TRANSFERÈNCIES,287375,257405.0,544780.0,451035.6
46500,ALTRES TRANSFERÈNCIES,123400,1257.57,124657.57,139133.82
46700,DE CONSORCIS,2000,,2000.0,
47000,TRANSFERÈNCIES CORRENTS D'EMPRESES,1000,2135.0,3135.0,9251.65
52000,INTERESSOS DE CAIXES I BANCS,100,,100.0,10516.06
54100,ARRENDAMENT FINQUES,0,26000.0,26000.0,26000.0
55000,CONCESSIONS ADMINISTRATIVES,45900,,45900.0,54088.46
60000,VENDA DE SOLARS,0,2084000.0,2084000.0,2084000.0
76100,DE DIPUTACIONS,105000,313239.3,418239.3,354717.29
79100,DE FEDER,0,426662.5,426662.5,354947.11
87000,Per a despeses generals.,0,750773.13,750773.13,
87010,PER A DESPESES AMB FINANÇAMENT AFECTAT,0,2701808.04,2701808.04,
91100,PRÉSTECS A LL/T D'ENS DEL SECTOR PÚBLIC,175000,202856.07,377856.07,305892.02
91301,PRÉSTEC REBUTS DE FORA DEL SECTOR PÚBLIC,216352,-216352.0,,
#,,11415095,6730492.21,18145587.21,15243476.33
