#Org.,Fun.,Eco.,Descripció,Crèdits inicials,Modificacions de crèdit,Crèdits totals consignats,Obligacions reconegudes
06,171,22700,,20000.0,,20000.0,
06,171,22709,,18000.0,,18000.0,5748.76
06,171,22716,,355000.0,2297.68,357297.68,136531.99
06,171,62501,,,,,
06,231,22700,,,,,265.5
06,231,22713,,,,,326.0
06,333,22700,,15000.0,,15000.0,5386.85
06,333,22713,,1500.0,,1500.0,478.8
06,337,22700,,18000.0,,18000.0,7207.95
06,337,22713,,250.0,,250.0,74.2
06,342,22700,,16000.0,,16000.0,5559.85
06,342,22707,,48300.0,1438.03,49738.03,7985.08
06,342,22713,,4000.0,239.01,4239.01,1434.06
06,430,22700,,15000.0,,15000.0,2688.21
06,430,22713,,5000.0,,5000.0,
06,451,22700,,5000.0,,5000.0,1991.7
06,451,62200,,,285000.0,285000.0,
06,451,62501,,3500.0,,3500.0,1282.5
06,459,22707,,1000.0,,1000.0,
06,920,22700,,70000.0,,70000.0,26194.7
06,920,22713,,3000.0,,3000.0,948.75
06,1530,62501,,,18830.73,18830.73,2255.44
06,1532,62501,,,121.0,121.0,
06,1621,22700,,499000.0,7788.24,506788.24,184431.32
06,1622,22700,,55000.0,233.85,55233.85,15467.32
06,1623,22700,,200000.0,24153.93,224153.93,115150.34
06,3230,22700,,195000.0,13023.57,208023.57,92747.38
06,3230,22713,,5800.0,,5800.0,1879.5
06,3231,22700,,103000.0,2982.09,105982.09,44972.54
06,3231,22713,,3500.0,69.64,3569.64,1161.99
06,3321,22700,,12000.0,,12000.0,4956.9
06,3321,22713,,150.0,,150.0,44.95
06,9290,22700,,10000.0,,10000.0,4059.05
06,9290,22713,,400.0,24.09,424.09,144.54
06,9293,22700,,50000.0,,50000.0,17728.74
06,9293,22713,,2200.0,131.66,2331.66,789.96
07,170,13000,,15518.0,,15518.0,7520.61
07,170,13002,,18874.0,,18874.0,9987.43
07,170,15000,,600.0,,600.0,
07,170,16000,,10524.0,,10524.0,5261.98
07,170,22200,,200.0,30.74,230.74,45.52
07,170,62501,,3100.0,,3100.0,
07,942,46700,,4000.0,,4000.0,2006.79
07,1622,20200,,1500.0,66.55,1566.55,
07,1622,20800,,,,,332.75
07,1722,21900,,800.0,,800.0,756.25
07,1722,22602,,12900.0,,12900.0,
07,1722,22608,,1000.0,3000.0,4000.0,5.45
07,1722,22610,,300.0,,300.0,
07,1722,22611,,,,,2141.39
07,1722,22706,,10000.0,4613.66,14613.66,1633.5
08,330,13000,,15011.0,,15011.0,2654.07
08,330,13002,,23943.0,,23943.0,4315.73
08,330,14300,,,,,18034.03
08,330,15000,,600.0,,600.0,
08,330,15100,,,,,
08,330,16000,,12108.0,,12108.0,11035.58
08,330,22199,,,,,814.95
08,330,22602,,100.0,,100.0,
08,330,62501,,32250.0,7200.0,39450.0,7081.71
08,330,68900,,,7975.0,7975.0,8555.75
08,333,20800,,,,,1875.5
08,333,21500,,1000.0,,1000.0,
08,333,22199,,200.0,,200.0,
08,333,22200,,1500.0,,1500.0,147.08
08,333,63201,,,60000.0,60000.0,
08,334,22606,,10200.0,,10200.0,96.03
08,334,22609,,12000.0,,12000.0,1531.01
08,334,48900,,35000.0,6100.0,41100.0,25599.97
08,338,20800,,34500.0,,34500.0,14356.65
08,338,22610,,7000.0,,7000.0,9921.25
08,338,22611,,8000.0,,8000.0,6022.44
08,338,22612,,10000.0,,10000.0,7739.48
08,338,22614,,77000.0,,77000.0,3615.0
08,338,22706,,500.0,,500.0,
08,942,46700,,9600.0,,9600.0,8858.08
08,3321,13000,,24872.0,,24872.0,12470.81
08,3321,13002,,27301.0,,27301.0,14165.26
08,3321,15000,,1200.0,,1200.0,
08,3321,15100,,,,,
08,3321,16000,,15495.0,,15495.0,7883.14
08,3321,21500,,1000.0,,1000.0,66.16
08,3321,22001,,3000.0,,3000.0,799.01
08,3321,22199,,200.0,,200.0,181.58
08,3321,22200,,1200.0,,1200.0,555.37
08,3321,22605,,,,,1311.15
08,3321,22609,,6500.0,,6500.0,4320.31
08,3321,62200,,,311000.0,311000.0,
08,3321,62501,,1000.0,,1000.0,
08,3321,63200,,5000.0,,5000.0,
08,3321,63201,,,19794.21,19794.21,
09,924,22706,,3000.0,,3000.0,1415.32
09,924,22707,,,10527.0,10527.0,
09,9232,22602,,40000.0,7569.05,47569.05,18582.74
09,9232,22608,,7000.0,,7000.0,
10,337,13100,,31643.0,,31643.0,16199.34
10,337,15000,,600.0,,600.0,
10,337,15100,,,,,160.96
10,337,16000,,9394.0,,9394.0,4852.48
10,337,21500,,2000.0,,2000.0,29.92
10,337,22199,,500.0,,500.0,
10,337,22200,,3200.0,,3200.0,789.02
10,337,22609,,18000.0,795.99,18795.99,4001.85
10,337,22613,,82000.0,,82000.0,12999.8
10,337,22706,,500.0,,500.0,
10,337,22707,,18200.0,1410.65,19610.65,9197.52
10,337,48900,,8500.0,1573.11,10073.11,6290.6
10,337,62501,,4000.0,6584.02,10584.02,1039.61
10,337,63200,,12000.0,,12000.0,
10,337,63201,,,72.27,72.27,
11,320,13000,,28454.0,,28454.0,8424.49
11,320,13002,,36353.0,,36353.0,11496.37
11,320,15000,,1200.0,,1200.0,
11,320,16000,,15660.0,,15660.0,5097.4
11,320,22602,,100.0,,100.0,114.89
11,326,13000,,,,,
11,326,13002,,,,,
11,326,22608,,3529.0,,3529.0,1008.54
11,326,22610,,4400.0,,4400.0,669.02
11,326,22700,,800.0,,800.0,
11,326,22707,,5500.0,3039.0,8539.0,
11,326,48900,,35000.0,3784.62,38784.62,
11,326,48901,,12000.0,6000.0,18000.0,2800.0
11,3230,13000,,9577.0,,9577.0,4979.45
11,3230,13002,,15879.0,,15879.0,8218.08
11,3230,13100,,71847.0,,71847.0,35423.52
11,3230,14300,,,,,
11,3230,15000,,2400.0,,2400.0,
11,3230,16000,,29419.0,,29419.0,15022.33
11,3230,20800,,4270.0,,4270.0,1778.7
11,3230,22001,,50.0,,50.0,15.86
11,3230,22200,,4700.0,,4700.0,1027.08
11,3230,22602,,,,,
11,3230,62501,,5000.0,,5000.0,
11,3230,63201,,,24563.25,24563.25,
