#Data,Import,Orgánica,Area,Funcional,Económica,Nom terc.,Text lliure,Document
2019-01-25,826.37,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM ELÈCTRIC ENLLUMENAT PÚBCLI DEL 30/09/18 AL 28/11/18,082021441822 0437 P1M801N1666307
2019-01-25,1670.24,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM GAS ESCOLA PERE CALDERS DEL 05/11/18 AL 03/12/18,086161878675 0504 P1M801N1704387
2019-01-25,289.61,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM ELÈCTRIC ENLLUMENAT PÚBCLI DEL 31/10/18 AL 28/11/18,082020805545 0456 P1M801N1689388
2019-01-25,617.49,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM ELÈCTRIC ENLLUMENAT PÚBCLI DEL 30/09/18 AL 27/11/18,999435538241 0827 P1M801N1661483
2019-01-25,1084.8,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM ELÈCTRIC ENLLUMENAT PÚBLIC DEL 02/10/18 AL 04/12/18,082020817721 0331 P1M801N1717156
2019-01-25,322.17,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM ELÈCTRIC ENLLUMENAT PÚBCLI DEL 30/09/18 AL 28/11/18,082020810671 0456 P1M801N1689389
2019-01-25,795.51,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM ELÈCTRIC ENLLUMENAT PÚBLIC DEL 02/10/18 AL 05/12/18,999435543190 0447 P1M801N1724557
2019-01-25,331.48,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM ELÈCTRIC ENLLUMENAT PÚBCLI DEL 30/09/18 AL 27/11/18,082020693111 0437 P1M801N1683426
2019-01-25,176.91,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM ELÈCTRIC LOCAL BRIGADA DEL 02/10/18 AL 27/11/18,082020843642 0641 P1M801N1706060
2019-01-25,963.64,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM ELÈCTRIC ENLLUMENAT PÚBLIC DEL 02/10/18 AL 04/12/18,082020816384 0331 P1M801N1717155
2019-01-25,227.4,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM ELÈCTRIC LOCAL ORGT I CREU ROJA DEL 05/10/18 AL 07/12/18,082020712053 0359 P1M801N1725380
2019-01-25,558.71,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM ELÈCTRIC ENLLUMENAT PÚBCLI DEL 30/09/18 AL 27/11/18,082020697625 0456 P1M801N1661420
2019-01-25,753.29,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM ENLLUMENAT PÚBLIC DEL 31/10/18 AL 27/11/18,999435444609 0958 P1M801N1659700
2019-01-25,62.92,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM ELÈCTRIC ENLLUMENAT PÚBLIC DEL 30/09/18 AL 27/11/18,082020695214 0437 P1M801N1661419
2019-01-25,370.9,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM ELÈCTRIC ENLLUMENAT PÚBLIC DEL 30/09/18 AL 27/11/18,999435540421 0812 P1M801N1661485
2019-01-25,849.36,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM ELÈCTRIC ENLLUMENAT PÚBLIC DEL 02/10/18 AL 06/12/18,999435542701 0447 P1M801N1716396
2019-01-25,28.23,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM GAS BAR ROURE DEL 28/09/18 AL 23/11/18,086161878981 0221 P1M801N1653924
2019-01-25,854.83,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM ELÈCTRIC CAN GAVARRA DEL 31/10/18 AL 02/12/18,082020837571 0650 P1M801N1696622
2019-01-25,949.45,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM GAS CENTRE CÍVIC DEL 28/09/18 AL 23/11/18,086161879100 0221 P1M801N1653925
2019-01-25,560.07,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM ELÈCTRIC ENLLUMENAT PÚBCLI DEL 31/10/18 AL 27/11/18,999435532881 0996 P1M801N1659704
2019-01-25,221.83,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM ELÈCTRIC ENLLUMENAT PÚBLIC DEL 30/09/18 AL 27/11/18,082020761745 0437 P1M801N1689193
2019-01-25,565.18,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM ELÈCTRIC ENLLUMENAT PÚBLIC DEL 31/10/18 AL 27/11/18,999435534572 0846 P1M801N1659708
2019-01-25,859.89,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM ELÈCTRIC AJUNTAMENT DEL 31/10/18 AL 27/11/18,999435446834 0865 P1M801N1659702
2019-01-25,606.38,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM ELÈCTRIC EBM BADABADOC DEL 31/10/18 AL 27/11/18,999435537442 0850 P1M801N1659705
2019-01-25,858.3,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM ENLLUMENAT PÚBLIC DEL 31/10/18 AL 27/11/18,999435442878 0846 P1M801N1659699
2019-01-25,208.93,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM ELÈCTRIC ENLLUMENAT PÚBLIC DEL 30/09/18 AL 27/11/18,082020755864 0437 P1M801N1661423
2019-01-25,960.14,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",CONSUM ELÈCTRIC ESCOLA POLINYA DEL 31/10/18 AL 02/12/18,082020844971 0646 P1M801N1696623
2019-01-25,296.4,18,Serveis de manteniment d'edificis i inversions,,,"ENDESA ENERGIA,S.A.",COSUM ELÈCTRIC CASAL DE JOVES DEL 31/10/18 AL 27/11/18,999435441521 0831 P1M801N1659701
2019-01-25,10.59,13,Esports,,,ESPORTS,MATERIAL ESPORTS - BESTRETA,01076
2019-01-25,55.81,13,Esports,,,ESPORTS,MATERIAL ESPORTIU FESTA DE L'ESPORT - BESTRETA,6232018001680
2019-01-25,10.95,13,Esports,,,ESPORTS,VARIS FESTA DE L'ESPORT - BESTRETA,302
2019-01-25,7.44,13,Esports,,,ESPORTS,CÓPIES CLAUS ESPORTS - BESTRETA,180893
2019-01-25,27.36,13,Esports,,,ESPORTS,CÓPIES CLAUS ESPORTS - BESTRETA,181066
2019-01-25,79.22,13,Esports,,,ESPORTS,AIGÜES FESTA DE L'ESPORT - BESTRETA,4449633906
